data,a,b,c,d,e,f
,20,36,39,41,72,76
,2,4,25,29,30,52
,1,2,14,23,78,88
,5,22,34,61,62,77
,10,65,77,80,81,86
,3,27,48,58,78,90
,13,59,63,75,85,87
,8,26,35,43,55,67
,34,36,71,76,86,89
,2,29,36,72,82,90
,20,23,24,29,66,73
,24,33,37,40,60,86
,16,37,49,52,53,82
,29,37,49,51,55,74
,22,25,26,49,59,85
,3,4,39,43,56,81
,2,3,49,51,63,79
,6,13,26,33,34,78
,18,23,24,35,48,82
,8,9,23,34,64,89
,2,15,63,65,68,78
,37,40,46,51,58,66
,10,12,29,41,45,50
,4,19,47,60,73,84
,1,27,40,81,82,85
,13,68,75,79,87,88
,28,36,59,79,84,88
,2,12,57,62,64,71
,3,23,25,44,74,89
,16,33,42,86,88,89
,1,5,17,38,61,71
,17,30,38,51,77,80
,5,6,17,55,62,73
,16,40,50,58,62,63
,17,31,42,43,55,72
,1,7,21,49,84,87
,4,7,22,27,39,88
,23,58,64,67,79,81
,4,5,46,47,73,82
,17,38,47,56,76,85
,5,22,40,46,86,87
,18,36,62,63,76,80
,15,23,27,29,50,69
,6,12,23,28,77,79
,5,28,33,64,81,84
,5,19,43,44,73,77
,6,15,41,57,81,83
,7,19,25,68,71,85
,5,13,22,25,43,50
,7,12,24,37,58,81
,36,48,56,65,71,73
,4,11,29,34,86,88
,48,50,80,81,84,87
,13,18,22,56,67,72
,5,14,17,38,64,68
,13,26,30,34,83,86
,10,16,35,39,64,65
,20,24,39,63,65,70
,19,43,59,60,67,79
,2,16,38,40,44,57
,25,33,37,47,48,79
,29,42,49,52,53,67
,5,20,24,48,78,80
,15,16,17,57,60,63
,12,32,48,68,70,85
,1,36,42,71,72,88
,56,71,75,78,81,85
,25,37,54,63,70,76
,25,60,62,68,83,89
,5,14,37,38,50,72
,7,24,40,56,79,85
,12,27,31,32,57,83
,31,33,61,77,86,88
,4,47,53,55,71,73
,6,15,16,50,62,82
,10,36,48,63,83,90
,10,40,66,72,76,80
,12,19,22,53,72,88
,1,43,45,48,83,90
,15,16,20,23,24,87
,10,25,56,68,71,77
,14,37,48,55,84,87
,22,26,29,37,75,76
,3,33,45,57,78,80
,7,9,31,41,67,68
,28,31,40,67,74,90
,20,34,44,61,74,87
,2,9,13,34,46,63
,6,13,17,49,51,83
,42,43,46,49,52,76
,15,28,42,55,76,88
,10,13,50,59,64,78
,14,39,50,56,72,89
,4,26,27,74,77,84
,37,60,64,73,80,84
,1,21,30,61,73,84
,6,54,72,75,81,87
,15,19,25,33,40,68
,19,38,60,80,81,90
,6,31,69,70,76,85
,12,18,43,47,50,83
,32,36,43,56,66,89
,32,39,52,56,69,85
,12,15,40,50,66,88
,9,23,36,66,67,77
,27,35,47,48,59,79
,1,11,42,43,61,81
,9,37,39,40,42,86
,22,43,56,71,77,83
,3,6,13,28,49,50
,3,9,14,26,47,79
,14,43,46,65,71,82
,30,36,45,49,63,89
,10,12,54,58,72,88
,34,43,44,45,53,58
,1,6,13,23,53,77
,18,23,45,51,61,86
,7,9,12,37,86,90
,1,43,45,48,51,56
,36,45,46,47,74,75
,8,48,65,72,83,88
,14,20,40,58,68,84
,45,67,70,80,81,89
,9,10,26,30,44,54
,4,8,12,17,19,80
,12,20,23,34,67,87
,24,45,49,63,78,83
,4,26,59,63,69,74
,17,19,32,41,52,87
,6,7,42,55,75,88
,40,41,51,62,66,80
,27,41,44,50,68,73
,11,20,56,69,72,76
,6,18,20,34,72,90
,3,7,14,45,68,70
,43,71,80,84,88,89
,4,26,34,61,76,81
,7,18,27,80,81,83
,25,60,64,71,75,85
,33,41,47,48,60,80
,13,27,40,46,70,84
,4,11,14,17,25,32
,34,63,70,77,83,90
,4,6,25,32,73,83
,20,53,55,61,64,74
,20,22,33,44,50,74
,1,51,53,55,73,86
,8,49,50,65,66,69
,3,10,28,71,81,88
,11,14,15,30,68,81
,3,7,10,37,57,86
,7,33,54,72,73,90
,10,23,35,64,74,90
,3,28,38,43,73,75
,3,4,13,16,59,70
,10,34,44,49,62,79
,2,16,17,65,69,72
,9,36,52,76,77,90
,16,32,35,45,72,77
,32,35,57,74,79,84
,5,20,29,41,56,86
,13,23,31,58,67,68
,31,36,37,71,86,90
,8,19,23,37,65,77
,13,22,44,74,77,87
,3,6,7,53,65,90
,38,46,63,82,83,87
,1,4,42,67,75,77
,4,48,60,63,84,88
,5,22,35,38,74,82
,11,19,26,58,67,89
,13,16,23,52,67,78
,13,64,68,84,89,90
,5,34,44,73,77,83
,12,23,46,54,78,90
,4,16,29,58,69,88
,10,19,24,29,42,67
,45,64,73,80,81,85
,13,16,51,56,65,67
,1,32,37,63,67,69
,1,25,28,39,51,89
,7,12,14,16,24,45
,5,19,26,32,67,87
,38,40,41,69,76,81
,15,38,48,74,75,80
,25,40,57,59,76,82
,17,20,27,29,72,73
,12,15,33,60,79,88
,1,11,40,50,53,80
,6,27,37,38,47,79
,4,16,27,55,67,72
,6,10,38,48,49,65
,38,58,61,64,82,87
,12,35,40,59,78,80
,6,24,30,34,37,71
,3,35,45,47,54,70
,22,26,58,60,67,88
,24,46,57,73,79,81
,6,25,34,72,76,82
,16,21,29,39,70,90
,19,42,64,68,72,86
,6,7,37,67,80,87
,21,45,55,61,73,80
,3,23,61,82,83,88
,6,51,73,78,80,81
,20,31,45,62,76,81
,12,16,24,48,53,58
,14,20,57,79,85,88
,1,13,24,39,44,45
,13,39,62,63,66,76
,20,32,37,44,75,88
,6,27,50,57,77,80
,18,21,28,35,41,85
,13,42,57,61,63,82
,6,9,32,47,59,60
,20,21,63,71,75,79
,14,15,20,42,70,88
,17,38,48,51,55,62
,2,13,31,37,38,82
,6,15,47,71,75,86
,3,15,48,74,76,81
,11,21,22,50,59,63
,20,29,39,54,57,71
,15,21,55,60,70,90
,2,57,62,63,73,87
,55,65,68,70,73,80
,12,13,28,30,47,63
,17,48,52,64,86,87
,6,36,49,51,52,76
,4,33,67,71,81,82
,8,27,39,51,54,90
,25,28,37,51,54,81
,44,53,61,65,86,89
,4,35,48,57,69,90
,27,32,37,70,82,88
,7,19,29,33,40,88
,4,13,15,20,32,41
,28,42,46,56,74,87
,8,17,35,61,78,89
,8,58,76,81,85,87
,2,19,22,57,65,89
,15,27,47,51,62,63
,1,6,12,26,57,70
,3,9,30,58,60,88
,10,17,33,38,67,71
,3,12,26,47,54,87
,18,24,45,58,62,80
,2,27,33,47,53,86
,5,53,64,74,77,88
,24,35,39,48,82,85
,17,51,67,70,82,86
,8,42,45,59,68,88
,1,13,37,53,62,71
,23,26,34,56,66,85
,9,12,19,39,82,86
,32,38,40,59,62,79
,11,14,19,32,78,89
,19,32,41,42,67,77
,8,10,22,72,87,90
,3,25,39,50,53,67
,4,8,19,39,63,70
,6,17,31,33,43,66
,2,4,23,38,53,59
,3,16,37,56,58,79
,15,25,50,64,80,89
,29,32,35,49,69,71
,12,15,34,43,55,75
,1,28,52,53,63,77
,3,17,18,41,63,89
,19,39,43,48,62,76
,12,34,35,50,63,88
,4,6,8,41,76,80
,11,15,16,43,49,84
,5,18,24,51,55,74
,6,37,53,60,66,72
,10,13,42,54,66,81
,3,37,40,49,53,83
,29,31,56,57,76,79
,4,39,56,59,65,78
,23,36,56,78,80,83
,18,36,47,62,75,80
,9,19,52,68,70,74
,14,21,27,49,82,83
,5,30,32,35,55,87
,11,13,20,41,76,89
,4,14,15,19,76,85
,8,16,59,61,78,90
,28,44,49,57,64,89
,7,11,48,49,64,72
,3,6,10,26,43,72
,1,45,48,69,70,89
,8,9,17,37,49,86
,12,14,29,49,62,82
,12,51,56,73,85,88
,5,48,71,84,85,87
,25,35,52,55,60,68
,2,3,15,16,24,67
,8,10,16,21,39,65
,11,54,64,70,73,77
,24,35,37,63,81,85
,15,33,41,48,52,56
,1,10,23,40,68,75
,2,38,39,41,61,76
,6,21,29,43,80,89
,2,55,76,78,81,85
,19,21,28,50,53,62
,22,42,50,53,78,83
,9,27,45,66,68,71
,1,25,26,28,53,79
,3,21,42,49,64,85
,14,25,39,50,72,89
,3,14,49,52,65,81
,13,17,29,32,35,49
,6,11,17,18,20,59
,9,16,48,70,75,77
,39,55,62,77,82,88
,8,54,62,63,66,84
,23,33,36,55,76,79
,26,36,43,47,64,90
,11,33,59,68,84,85
,1,5,14,20,39,58
,1,8,26,33,47,70
,15,25,26,33,41,62
,16,19,61,69,72,84
,8,14,30,31,35,76
,44,50,57,81,83,90
,16,22,35,41,53,62
,14,25,28,42,82,90
,29,42,56,65,80,90
,2,6,18,20,49,83
,28,46,65,70,77,86
,2,8,13,39,47,89
,4,23,56,63,71,89
,4,36,41,49,56,82
,15,22,38,62,83,86
,9,17,30,37,40,46
,6,28,46,55,56,62
,25,26,75,78,79,80
,33,43,59,77,83,86
,5,13,18,40,51,56
,32,34,40,45,65,71
,18,39,61,68,74,75
,28,35,36,62,66,70
,8,19,46,49,73,85
,39,43,56,61,65,81
,2,8,24,36,80,84
,11,39,63,64,74,88
,12,14,17,32,50,58
,2,23,48,57,63,89
,5,12,40,61,63,88
,11,41,52,71,81,89
,10,11,64,74,82,88
,10,26,32,41,42,54
,2,7,12,31,38,71
,4,22,27,45,58,86
,2,14,32,43,44,55
,2,45,59,70,75,82
,9,22,26,67,71,89
,7,30,47,76,83,89
,3,32,37,42,43,89
,13,15,18,49,65,73
,6,36,52,68,80,81
,8,39,55,56,57,63
,5,26,37,43,45,64
,11,18,42,44,45,83
,36,48,70,77,82,88
,7,18,44,48,51,63
,4,18,24,29,41,59
,58,61,70,78,84,87
,7,12,19,21,60,81
,25,32,34,54,64,83
,4,15,22,34,77,87
,16,20,27,31,32,77
,22,31,45,68,84,88
,13,29,40,61,73,81
,10,50,53,78,82,86
,7,10,23,33,68,85
,1,31,44,59,64,77
,4,22,37,43,63,80
,3,9,35,65,80,84
,39,56,64,75,76,90
,27,31,34,47,58,75
,5,39,43,53,63,82
,5,22,49,63,65,66
,1,8,14,27,83,87
,21,25,31,44,49,52
,7,58,61,62,73,74
,6,7,14,53,54,85
,10,12,38,57,72,84
,1,9,27,36,68,70
,5,11,44,57,86,90
,10,11,16,45,46,55
,8,43,53,69,74,79
,12,25,49,53,67,73
,3,5,10,32,44,75
,2,14,38,53,56,71
,10,21,30,45,55,57
,22,26,27,28,72,73
,14,62,69,70,86,88
,3,4,7,55,61,77
,14,42,45,49,71,86
,3,11,43,50,85,88
,14,35,37,52,66,72
,13,28,45,58,70,86
,18,49,60,64,80,84
,16,19,20,30,31,47
,12,23,48,70,85,86
